Field	Type	Null	Key	Default	Extra
id	bigint(20) unsigned	NO	PRI	NULL	auto_increment
institution_id	bigint(20) unsigned	NO	MUL	NULL	
department_id	bigint(20) unsigned	YES		NULL	
course_id	bigint(20) unsigned	YES		NULL	
academic_year	varchar(20)	YES		NULL	
semester	varchar(20)	YES		NULL	
section_id	bigint(20) unsigned	YES		NULL	
class_group_id	bigint(20) unsigned	YES		NULL	
subject_id	bigint(20) unsigned	NO	MUL	NULL	
faculty_id	bigint(20) unsigned	NO	MUL	NULL	
classroom_id	bigint(20) unsigned	NO	MUL	NULL	
lecture_type	enum('Theory','Lab')	NO		Theory	
day_of_week	enum('Monday','Tuesday','Wednesday','Thursday','Friday','Saturday','Sunday')	NO		NULL	
start_time	time	NO		NULL	
end_time	time	NO		NULL	
created_at	timestamp	YES		NULL	
updated_at	timestamp	YES		NULL	
deleted_at	timestamp	YES		NULL	
status	int(11)	YES		1	
is_temporary	tinyint(1)	YES		0	
schedule_date	date	YES		NULL	
